"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"先生","せんせい","ustoz, muallim","ot","N5","Top 500","③","","","","","山田さんは先生です。(やまださんはせんせいです。)","Yamada ustoz (o'qituvchi).","教師","学生, 生徒","「先生」 — boshqaga murojaat qilganda ishlatiladigan hurmat so'zi; o'z kasbini aytganda 「私は教師です」 deyiladi, 「私は先生です」 emas. Shifokor, huquqshunos va siyosatchilarga ham 「先生」 deb murojaat qilinadi.","[{""kanji"":""先"",""meaning"":""oldin, avval"",""kunReading"":""saki"",""onReading"":""sen"",""strokes"":6},{""kanji"":""生"",""meaning"":""hayot, tug'ilmoq"",""kunReading"":""i, u, ha"",""onReading"":""sei, shou"",""strokes"":5}]","[{""sentence"":""先生、質問があります。(せんせい、しつもんがあります。)"",""translation"":""Ustoz, savolim bor.""},{""sentence"":""田中先生は日本語の先生です。(たなかせんせいはにほんごのせんせいです。)"",""translation"":""Tanaka ustoz — yapon tili o'qituvchisi.""}]","[{""word"":""先週"",""hiragana"":""せんしゅう"",""meaning"":""o'tgan hafta""},{""word"":""一生"",""hiragana"":""いっしょう"",""meaning"":""butun umr""}]"
"教師","きょうし","o'qituvchi, domla (kasb nomi)","ot","N5","Top 2000","①","","","","","私は日本語の教師です。(わたしはにほんごのきょうしです。)","Men yapon tili o'qituvchisiman.","先生","学生","「教師」 — kasbning neytral nomi, o'zi va oilasi haqida gapirganda ishlatiladi. Kimgadir murojaat qilganda esa 「先生」 deyiladi.","[{""kanji"":""教"",""meaning"":""o'rgatmoq"",""kunReading"":""oshi, oso"",""onReading"":""kyou"",""strokes"":11},{""kanji"":""師"",""meaning"":""ustoz, mutaxassis"",""kunReading"":""-"",""onReading"":""shi"",""strokes"":10}]","[{""sentence"":""父は高校の教師です。(ちちはこうこうのきょうしです。)"",""translation"":""Otam o'rta maktab o'qituvchisi.""},{""sentence"":""教師になりたいです。(きょうしになりたいです。)"",""translation"":""O'qituvchi bo'lmoqchiman.""}]","[{""word"":""教室"",""hiragana"":""きょうしつ"",""meaning"":""sinfxona, o'quv xonasi""},{""word"":""教育"",""hiragana"":""きょういく"",""meaning"":""ta'lim""}]"
"学生","がくせい","talaba","ot","N5","Top 500","⓪","","","","","私は大学の学生です。(わたしはだいがくのがくせいです。)","Men universitet talabasiman.","生徒, 大学生","先生, 教師","「学生」 odatda oliy o'quv yurti talabasiga nisbatan ishlatiladi; maktab o'quvchisi uchun 「生徒（せいと）」 yoki 「小学生」「中学生」「高校生」 aytiladi.","[{""kanji"":""学"",""meaning"":""o'rganish, ilm"",""kunReading"":""mana"",""onReading"":""gaku"",""strokes"":8},{""kanji"":""生"",""meaning"":""hayot, tug'ilmoq"",""kunReading"":""i, u, ha"",""onReading"":""sei, shou"",""strokes"":5}]","[{""sentence"":""あの人も学生ですか。(あのひともがくせいですか。)"",""translation"":""U kishi ham talabami?""},{""sentence"":""学生じゃありません、会社員です。(がくせいじゃありません、かいしゃいんです。)"",""translation"":""Talaba emasman, firma xodimiman.""}]","[{""word"":""大学生"",""hiragana"":""だいがくせい"",""meaning"":""universitet talabasi""},{""word"":""留学生"",""hiragana"":""りゅうがくせい"",""meaning"":""chet ellik talaba""}]"
"会社員","かいしゃいん","firma xodimi, korxona xodimi","ot","N5","Top 1000","③","","","","","ミラーさんは会社員です。(みらーさんはかいしゃいんです。)","Janob Miller — firma xodimi.","社員, サラリーマン","学生","「会社員」 — umuman kompaniyada ishlovchi degani. 「社員」 esa aniq kompaniya nomi bilan keladi (IMCの社員). 「サラリーマン」 — oylik maosh oluvchi erkak xodim uchun so'zlashuv so'zi.","[{""kanji"":""会"",""meaning"":""uchrashmoq, yig'in"",""kunReading"":""a"",""onReading"":""kai"",""strokes"":6},{""kanji"":""社"",""meaning"":""jamiyat, kompaniya"",""kunReading"":""yashiro"",""onReading"":""sha"",""strokes"":7},{""kanji"":""員"",""meaning"":""xodim, a'zo"",""kunReading"":""-"",""onReading"":""in"",""strokes"":10}]","[{""sentence"":""兄は会社員です。(あにはかいしゃいんです。)"",""translation"":""Akam firma xodimi.""},{""sentence"":""会社員じゃありません。(かいしゃいんじゃありません。)"",""translation"":""Men firma xodimi emasman.""}]","[{""word"":""会社"",""hiragana"":""かいしゃ"",""meaning"":""firma, kompaniya""},{""word"":""銀行員"",""hiragana"":""ぎんこういん"",""meaning"":""bank xodimi""}]"
"社員","しゃいん","firma xodimi (aniq kompaniya nomi bilan ishlatiladi)","ot","N5","Top 2000","①","","","","","ミラーさんはIMCの社員です。(みらーさんはあいえむしーのしゃいんです。)","Janob Miller — IMC firmasining xodimi.","会社員","","「社員」 oldidan qaysi kompaniya ekani aytiladi: 「IMCの社員」. Yolg'iz o'zi ishlatilganda kasbni emas, o'sha kompaniya xodimini bildiradi.","[{""kanji"":""社"",""meaning"":""jamiyat, kompaniya"",""kunReading"":""yashiro"",""onReading"":""sha"",""strokes"":7},{""kanji"":""員"",""meaning"":""xodim, a'zo"",""kunReading"":""-"",""onReading"":""in"",""strokes"":10}]","[{""sentence"":""私はパワー電気の社員です。(わたしはぱわーでんきのしゃいんです。)"",""translation"":""Men \""Pawer Denki\"" firmasining xodimiman.""},{""sentence"":""社員は百人います。(しゃいんはひゃくにんいます。)"",""translation"":""Xodimlar soni yuz kishi.""}]","[{""word"":""社長"",""hiragana"":""しゃちょう"",""meaning"":""kompaniya rahbari""},{""word"":""新入社員"",""hiragana"":""しんにゅうしゃいん"",""meaning"":""yangi kelgan xodim""}]"
"銀行員","ぎんこういん","bank xodimi","ot","N5","Top 5000","③","","","","","姉は銀行員です。(あねはぎんこういんです。)","Opam bank xodimi.","","","「銀行（bank）」＋「員（xodim）」. Xuddi shu qolipda 「会社員」「駅員（stansiya xodimi）」「店員（sotuvchi）」 yasaladi.","[{""kanji"":""銀"",""meaning"":""kumush"",""kunReading"":""shirogane"",""onReading"":""gin"",""strokes"":14},{""kanji"":""行"",""meaning"":""bormoq; muassasa"",""kunReading"":""i, yu"",""onReading"":""kou, gyou"",""strokes"":6},{""kanji"":""員"",""meaning"":""xodim, a'zo"",""kunReading"":""-"",""onReading"":""in"",""strokes"":10}]","[{""sentence"":""あの方は銀行員ですか。(あのかたはぎんこういんですか。)"",""translation"":""U kishi bank xodimimi?""},{""sentence"":""銀行員になりたいです。(ぎんこういんになりたいです。)"",""translation"":""Bank xodimi bo'lmoqchiman.""}]","[{""word"":""銀行"",""hiragana"":""ぎんこう"",""meaning"":""bank""},{""word"":""店員"",""hiragana"":""てんいん"",""meaning"":""sotuvchi, do'kon xodimi""}]"
"医者","いしゃ","shifokor, doktor","ot","N5","Top 1000","⓪","","","","","父は医者です。(ちちはいしゃです。)","Otam shifokor.","ドクター, 医師","患者","Boshqa kishining kasbi sifatida aytganda muloyim shakl — 「お医者さん」. Rasmiy hujjatlarda 「医師（いし）」 ishlatiladi.","[{""kanji"":""医"",""meaning"":""tibbiyot, davolamoq"",""kunReading"":""-"",""onReading"":""i"",""strokes"":7},{""kanji"":""者"",""meaning"":""kishi, shaxs"",""kunReading"":""mono"",""onReading"":""sha"",""strokes"":8}]","[{""sentence"":""お医者さんに聞いてください。(おいしゃさんにきいてください。)"",""translation"":""Shifokordan so'rang.""},{""sentence"":""あの人は病院の医者です。(あのひとはびょういんのいしゃです。)"",""translation"":""U kishi shifoxona shifokori.""}]","[{""word"":""歯医者"",""hiragana"":""はいしゃ"",""meaning"":""tish shifokori""},{""word"":""医学"",""hiragana"":""いがく"",""meaning"":""tibbiyot (fan)""}]"
"研究者","けんきゅうしゃ","tadqiqotchi, ilmiy izlanuvchi","ot","N5","Top 5000","③","","","","","ワットさんは研究者です。(わっとさんはけんきゅうしゃです。)","Janob Watt — tadqiqotchi.","学者","","「研究（tadqiqot）」＋「者（kishi）」. 「学者（がくしゃ）」 — olim, ko'proq nazariy sohaga nisbatan aytiladi.","[{""kanji"":""研"",""meaning"":""charxlamoq, o'rganmoq"",""kunReading"":""to"",""onReading"":""ken"",""strokes"":9},{""kanji"":""究"",""meaning"":""chuqur o'rganmoq"",""kunReading"":""kiwa"",""onReading"":""kyuu"",""strokes"":7},{""kanji"":""者"",""meaning"":""kishi, shaxs"",""kunReading"":""mono"",""onReading"":""sha"",""strokes"":8}]","[{""sentence"":""彼は大学の研究者です。(かれはだいがくのけんきゅうしゃです。)"",""translation"":""U universitet tadqiqotchisi.""},{""sentence"":""研究者になりたいです。(けんきゅうしゃになりたいです。)"",""translation"":""Tadqiqotchi bo'lmoqchiman.""}]","[{""word"":""研究"",""hiragana"":""けんきゅう"",""meaning"":""tadqiqot, ilmiy ish""},{""word"":""研究室"",""hiragana"":""けんきゅうしつ"",""meaning"":""laboratoriya, ilmiy xona""}]"
"エンジニア","エンジニア","muhandis","ot","N5","Top 5000","③","","","","","私はエンジニアです。(わたしはえんじにあです。)","Men muhandisman.","技師","","Inglizchadan o'zlashgan so'z (engineer), katakana bilan yoziladi. 「技師（ぎし）」 — eskiroq, rasmiy variant.","[]","[{""sentence"":""彼はIMCのエンジニアです。(かれはあいえむしーのえんじにあです。)"",""translation"":""U IMC firmasining muhandisi.""},{""sentence"":""エンジニアの仕事は面白いです。(えんじにあのしごとはおもしろいです。)"",""translation"":""Muhandis ishi qiziqarli.""}]","[{""word"":""システムエンジニア"",""hiragana"":""システムエンジニア"",""meaning"":""tizim muhandisi""}]"
"大学","だいがく","universitet, institut","ot","N5","Top 500","⓪","","","","","私は大学の学生です。(わたしはだいがくのがくせいです。)","Men universitet talabasiman.","","小学校","「大学」 — bakalavr bosqichi. Magistratura va doktorantura uchun 「大学院（だいがくいん）」 ishlatiladi.","[{""kanji"":""大"",""meaning"":""katta"",""kunReading"":""oo"",""onReading"":""dai, tai"",""strokes"":3},{""kanji"":""学"",""meaning"":""o'rganish, ilm"",""kunReading"":""mana"",""onReading"":""gaku"",""strokes"":8}]","[{""sentence"":""さくら大学は有名です。(さくらだいがくはゆうめいです。)"",""translation"":""Sakura universiteti mashhur.""},{""sentence"":""毎日大学へ行きます。(まいにちだいがくへいきます。)"",""translation"":""Har kuni universitetga boraman.""}]","[{""word"":""大学院"",""hiragana"":""だいがくいん"",""meaning"":""magistratura, aspirantura""},{""word"":""大学生"",""hiragana"":""だいがくせい"",""meaning"":""universitet talabasi""}]"
"病院","びょういん","shifoxona, kasalxona","ot","N5","Top 1000","⓪","","","","","あの人は病院の医者です。(あのひとはびょういんのいしゃです。)","U kishi shifoxona shifokori.","クリニック","","Diqqat: 「病院（びょういん）」 — shifoxona, 「美容院（びよういん）」 — sartaroshxona. Cho'ziq unliga e'tibor bering.","[{""kanji"":""病"",""meaning"":""kasallik"",""kunReading"":""yamai"",""onReading"":""byou"",""strokes"":10},{""kanji"":""院"",""meaning"":""muassasa, bino"",""kunReading"":""-"",""onReading"":""in"",""strokes"":10}]","[{""sentence"":""病院はどこですか。(びょういんはどこですか。)"",""translation"":""Shifoxona qayerda?""},{""sentence"":""母は病院で働いています。(ははは びょういんで はたらいています。)"",""translation"":""Onam shifoxonada ishlaydi.""}]","[{""word"":""病気"",""hiragana"":""びょうき"",""meaning"":""kasallik""},{""word"":""入院"",""hiragana"":""にゅういん"",""meaning"":""kasalxonaga yotish""}]"
"電気","でんき","chiroq, elektr","ot","N5","Top 1000","①","","","","","電気をつけてください。(でんきをつけてください。)","Chiroqni yoqing.","ライト, 明かり","","Ikki ma'noda keladi: uydagi chiroq va umuman elektr energiyasi. Kompaniya nomlarida ham uchraydi (パワー電気).","[{""kanji"":""電"",""meaning"":""elektr, chaqmoq"",""kunReading"":""-"",""onReading"":""den"",""strokes"":13},{""kanji"":""気"",""meaning"":""havo, ruh, kayfiyat"",""kunReading"":""-"",""onReading"":""ki, ke"",""strokes"":6}]","[{""sentence"":""パワー電気の社員です。(ぱわーでんきのしゃいんです。)"",""translation"":""\""Pawer Denki\"" firmasining xodimiman.""},{""sentence"":""電気を消しました。(でんきをけしました。)"",""translation"":""Chiroqni o'chirdim.""}]","[{""word"":""電車"",""hiragana"":""でんしゃ"",""meaning"":""elektropoyezd""},{""word"":""電話"",""hiragana"":""でんわ"",""meaning"":""telefon""}]"
"誰","だれ","kim","olmosh","N5","Top 500","①","","","","","あの人は誰ですか。(あのひとはだれですか。)","U kishi kim?","どなた","","「誰」 — odatiy shakl; hurmatli suhbatda 「どなた」 ishlatiladi. 「誰も＋inkor」 — ""hech kim"" ma'nosini beradi.","[{""kanji"":""誰"",""meaning"":""kim"",""kunReading"":""dare"",""onReading"":""sui"",""strokes"":15}]","[{""sentence"":""これは誰の傘ですか。(これはだれのかさですか。)"",""translation"":""Bu kimning soyaboni?""},{""sentence"":""誰も来ませんでした。(だれもきませんでした。)"",""translation"":""Hech kim kelmadi.""}]","[{""word"":""誰か"",""hiragana"":""だれか"",""meaning"":""kimdir""},{""word"":""誰も"",""hiragana"":""だれも"",""meaning"":""hech kim (inkor bilan)""}]"
"どなた","どなた","kim (hurmat shakli)","olmosh","N5","Top 2000","①","","","","","あの方はどなたですか。(あのかたはどなたですか。)","U kishi kim bo'ladilar?","誰","","「誰」ning hurmat shakli. Mijoz, mehmon yoki yoshi ulug' kishi haqida so'raganda 「どなた」 ishlatiladi, 「誰」 esa qo'pol eshitilishi mumkin.","[]","[{""sentence"":""失礼ですが、どなたですか。(しつれいですが、どなたですか。)"",""translation"":""Kechirasiz, siz kim bo'lasiz?""},{""sentence"":""どなたが山田さんですか。(どなたがやまださんですか。)"",""translation"":""Qaysi kishi Yamada-san bo'ladilar?""}]","[{""word"":""どなた様"",""hiragana"":""どなたさま"",""meaning"":""kim bo'ladilar (juda hurmatli)""}]"
"～歳","～さい","~yosh (yoshni bildiruvchi sanoq qo'shimchasi)","qo'shimcha","N5","Top 1000","","","","","","私は二十歳です。(わたしははたちです。)","Men yigirma yoshdaman.","～才","","Istisno o'qilishlar: 1歳＝いっさい, 8歳＝はっさい, 10歳＝じゅっさい, 20歳＝はたち. Kundalik yozuvda soddalashtirilgan 「才」 belgisi ham ishlatiladi.","[{""kanji"":""歳"",""meaning"":""yosh, yil"",""kunReading"":""toshi"",""onReading"":""sai"",""strokes"":13}]","[{""sentence"":""娘は五歳です。(むすめはごさいです。)"",""translation"":""Qizim besh yoshda.""},{""sentence"":""父は五十歳です。(ちちはごじゅっさいです。)"",""translation"":""Otam ellik yoshda.""}]","[{""word"":""二十歳"",""hiragana"":""はたち"",""meaning"":""yigirma yosh (maxsus o'qilishi)""},{""word"":""何歳"",""hiragana"":""なんさい"",""meaning"":""necha yosh""}]"
"何歳","なんさい","necha yosh","olmosh","N5","Top 2000","①","","","","","あの子は何歳ですか。(あのこはなんさいですか。)","Anavi bola necha yoshda?","おいくつ","","Bolalar va yaqin kishilarga nisbatan 「何歳」, katta yoshli yoki notanish kishiga esa 「おいくつですか」 deb so'raladi.","[{""kanji"":""何"",""meaning"":""nima, necha"",""kunReading"":""nani, nan"",""onReading"":""ka"",""strokes"":7},{""kanji"":""歳"",""meaning"":""yosh, yil"",""kunReading"":""toshi"",""onReading"":""sai"",""strokes"":13}]","[{""sentence"":""テレサちゃんは何歳ですか。(てれさちゃんはなんさいですか。)"",""translation"":""Teresa-chan necha yoshda?""},{""sentence"":""お子さんは何歳ですか。(おこさんはなんさいですか。)"",""translation"":""Farzandingiz necha yoshda?""}]","[{""word"":""何人"",""hiragana"":""なんにん"",""meaning"":""necha kishi""},{""word"":""何時"",""hiragana"":""なんじ"",""meaning"":""soat necha""}]"
"おいくつ","おいくつ","necha yoshdasiz? (「何歳」ning hurmat shakli)","olmosh","N5","Top 5000","⓪","","","","","失礼ですが、おいくつですか。(しつれいですが、おいくつですか。)","Kechirasiz, necha yoshdasiz?","何歳","","「いくつ」 asli ""nechta"" degani; oldiga hurmat qo'shimchasi 「お」 qo'shilib yosh so'rashning muloyim shakliga aylanadi. Yosh so'rashdan oldin 「失礼ですが」 deyish odobli hisoblanadi.","[]","[{""sentence"":""お母さんはおいくつですか。(おかあさんはおいくつですか。)"",""translation"":""Onangiz necha yoshdalar?""},{""sentence"":""あの方はおいくつですか。(あのかたはおいくつですか。)"",""translation"":""U kishi necha yoshdalar?""}]","[{""word"":""いくつ"",""hiragana"":""いくつ"",""meaning"":""nechta; necha yosh""}]"
"はい","はい","ha","undov","N5","Top 100","①","","","","","はい、そうです。(はい、そうです。)","Ha, shunday.","ええ, うん","いいえ","「はい」 — muloyim shakl. 「ええ」 biroz erkinroq, 「うん」 esa faqat yaqin kishilar bilan. Telefonda ismni tasdiqlashda ham 「はい」 ishlatiladi.","[]","[{""sentence"":""はい、学生です。(はい、がくせいです。)"",""translation"":""Ha, men talabaman.""},{""sentence"":""はい、分かりました。(はい、わかりました。)"",""translation"":""Ha, tushundim.""}]","[]"
"いいえ","いいえ","yo'q","undov","N5","Top 100","③","","","","","いいえ、違います。(いいえ、ちがいます。)","Yo'q, unday emas.","いや, ううん","はい","Rahmatga javoban 「いいえ」 deyish ""arzimaydi"" ma'nosini beradi. 「いや」va「ううん」 — erkin nutq shakllari.","[]","[{""sentence"":""いいえ、学生じゃありません。(いいえ、がくせいじゃありません。)"",""translation"":""Yo'q, men talaba emasman.""},{""sentence"":""いいえ、どういたしまして。(いいえ、どういたしまして。)"",""translation"":""Arzimaydi (javob sifatida).""}]","[]"
"失礼ですが","しつれいですが","kechirasiz, ~ (savol berishdan oldin aytiladigan ibora)","ibora","N5","Top 2000","","","","","","失礼ですが、お名前は？(しつれいですが、おなまえは？)","Kechirasiz, ismingiz nima?","すみませんが, 恐れ入りますが","","Shaxsiy savol (ism, yosh, kasb) berishdan oldin ishlatiladi — ""bezovta qilganim uchun uzr"" ma'nosida. Xonaga kirish yoki chiqishda esa 「失礼します」 deyiladi.","[{""kanji"":""失"",""meaning"":""yo'qotmoq"",""kunReading"":""ushina"",""onReading"":""shitsu"",""strokes"":5},{""kanji"":""礼"",""meaning"":""odob, ta'zim"",""kunReading"":""-"",""onReading"":""rei"",""strokes"":5}]","[{""sentence"":""失礼ですが、どなたですか。(しつれいですが、どなたですか。)"",""translation"":""Kechirasiz, siz kim bo'lasiz?""},{""sentence"":""失礼ですが、お仕事は何ですか。(しつれいですが、おしごとはなんですか。)"",""translation"":""Kechirasiz, kasbingiz nima?""}]","[{""word"":""失礼します"",""hiragana"":""しつれいします"",""meaning"":""ruxsat bering / xayr (rasmiy)""}]"
