"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"大きい","おおきい","katta","i-sifat","N5","Top 500","③","","","","","大きいかばんを買いました。(おおきいかばんをかいました。)","Katta sumka sotib oldim.","大きな","小さい","i-sifatlarning inkori 「い」 → 「くない」: 大き**くない**. Diqqat: 「大きな」 shakli ham bor, lekin u faqat ot oldida keladi va tuslanmaydi.","[{""kanji"":""大"",""meaning"":""katta"",""kunReading"":""oo"",""onReading"":""dai, tai"",""strokes"":3}]","[{""sentence"":""この部屋は大きいです。(このへやはおおきいです。)"",""translation"":""Bu xona katta.""},{""sentence"":""大きくないです。(おおきくないです。)"",""translation"":""Katta emas.""}]","[{""word"":""大学"",""hiragana"":""だいがく"",""meaning"":""universitet""},{""word"":""大人"",""hiragana"":""おとな"",""meaning"":""kattalar, voyaga yetgan""}]"
"小さい","ちいさい","kichik, mayda","i-sifat","N5","Top 500","③","","","","","小さい部屋です。(ちいさいへやです。)","Kichkina xona.","小さな","大きい","「大きい」 kabi 「小さな」 shakli ham bor. Yozuvda katakana va kichik 「っ」「ゃ」 belgilari 「小さい字（ちいさいじ）」 deb ataladi.","[{""kanji"":""小"",""meaning"":""kichik"",""kunReading"":""chii, ko"",""onReading"":""shou"",""strokes"":3}]","[{""sentence"":""この靴は小さいです。(このくつはちいさいです。)"",""translation"":""Bu poyafzal kichkina.""},{""sentence"":""小さい町に住んでいます。(ちいさいまちにすんでいます。)"",""translation"":""Kichik shaharda yashayman.""}]","[{""word"":""小学校"",""hiragana"":""しょうがっこう"",""meaning"":""boshlang'ich maktab""}]"
"新しい","あたらしい","yangi","i-sifat","N5","Top 500","④","","","","","新しいパソコンを買いました。(あたらしいぱそこんをかいました。)","Yangi kompyuter sotib oldim.","","古い","Diqqat: 「あらたしい」 emas, 「あたらしい」 — tarixan tovushlar o'rin almashgan. 4-darsdagi 「新聞」 va 5-darsdagi 「新幹線」 dagi 「新」 shu belgidan (u yerda 「しん」 deb o'qiladi).","[{""kanji"":""新"",""meaning"":""yangi"",""kunReading"":""atara, ara"",""onReading"":""shin"",""strokes"":13}]","[{""sentence"":""この店は新しいです。(このみせはあたらしいです。)"",""translation"":""Bu do'kon yangi.""},{""sentence"":""新しい仕事はどうですか。(あたらしいしごとはどうですか。)"",""translation"":""Yangi ish qanday?""}]","[{""word"":""新聞"",""hiragana"":""しんぶん"",""meaning"":""gazeta""}]"
"古い","ふるい","eski, qadimiy","i-sifat","N5","Top 500","②","","","","","京都は古い町です。(きょうとはふるいまちです。)","Kioto — qadimiy shahar.","","新しい","Muhim cheklov: 「古い」 faqat NARSALARGA nisbatan ishlatiladi. Odam haqida ""keksa"" ma'nosida 「古い人」 deyilmaydi — 「年を取った人」 yoki 「お年寄り」 deyiladi.","[{""kanji"":""古"",""meaning"":""eski"",""kunReading"":""furu"",""onReading"":""ko"",""strokes"":5}]","[{""sentence"":""この車は古いです。(このくるまはふるいです。)"",""translation"":""Bu mashina eski.""},{""sentence"":""古い写真を見ました。(ふるいしゃしんをみました。)"",""translation"":""Eski rasmlarni ko'rdim.""}]","[{""word"":""中古"",""hiragana"":""ちゅうこ"",""meaning"":""ishlatilgan, ikkinchi qo'l""}]"
"いい","いい（よい）","yaxshi, yaxshiroq","i-sifat","N5","Top 100","①","","","","","この辞書はいいです。(このじしょはいいです。)","Bu lug'at yaxshi.","よい, すばらしい","悪い","Yaponchadagi yagona qoidasiz i-sifat: tuslanganda 「よ」 ga aylanadi — いい → **よ**くない, **よ**かった, **よ**くて. 「いくない」「いかった」 deyilmaydi. Asosiy shakli 「よい」, kundalik nutqda 「いい」.","[]","[{""sentence"":""天気がよくないです。(てんきがよくないです。)"",""translation"":""Ob-havo yaxshi emas.""},{""sentence"":""きのうは天気がよかったです。(きのうはてんきがよかったです。)"",""translation"":""Kecha ob-havo yaxshi edi.""}]","[{""word"":""いいですね"",""hiragana"":""いいですね"",""meaning"":""yaxshi bo'lardi""}]"
"悪い","わるい","yomon","i-sifat","N5","Top 500","②","","","","","きょうは天気が悪いです。(きょうはてんきがわるいです。)","Bugun ob-havo yomon.","","いい","「悪いですね」 ba'zan ""uzr"" ma'nosida ham keladi — ""noqulay bo'lib qoldi"". Erkin nutqda 「悪い！」 — ""kechir!"" degani.","[{""kanji"":""悪"",""meaning"":""yomon, yovuz"",""kunReading"":""waru"",""onReading"":""aku"",""strokes"":11}]","[{""sentence"":""頭が悪いです。(あたまがわるいです。)"",""translation"":""Bosh og'riyapti / miyam ishlamayapti.""},{""sentence"":""悪い人じゃありません。(わるいひとじゃありません。)"",""translation"":""Yomon odam emas.""}]","[{""word"":""悪口"",""hiragana"":""わるぐち"",""meaning"":""g'iybat, yomon gap""}]"
"暑い","あつい","issiq (ob-havo, harorat haqida)","i-sifat","N5","Top 500","②","","","","","きょうは暑いですね。(きょうはあついですね。)","Bugun issiq-a?","","寒い","「暑い」 — havo va muhit harorati; 「熱い」 — teginilganda issiq narsa. Ikkalasi 「あつい」 deb o'qiladi, lekin kanjisi va ishlatilishi boshqa. Ziddi 「寒い」.","[{""kanji"":""暑"",""meaning"":""issiq (havo)"",""kunReading"":""atsu"",""onReading"":""sho"",""strokes"":12}]","[{""sentence"":""日本の夏は暑いです。(にほんのなつはあついです。)"",""translation"":""Yaponiyaning yozi issiq.""},{""sentence"":""部屋が暑いです。(へやがあついです。)"",""translation"":""Xona issiq.""}]","[{""word"":""暑さ"",""hiragana"":""あつさ"",""meaning"":""issiqlik (havo)""}]"
"熱い","あつい","issiq, qaynoq (teginilganda)","i-sifat","N5","Top 1000","②","","","","","熱いお茶を飲みます。(あついおちゃをのみます。)","Issiq choy ichaman.","","冷たい","「暑い」 dan farqi: 「熱い」 — qo'l bilan sezish mumkin bo'lgan narsa (choy, sup, temir). Ziddi 「冷たい」, 「暑い」 ning ziddi esa 「寒い」 — juftliklarni aralashtirmang.","[{""kanji"":""熱"",""meaning"":""issiq, qizigan"",""kunReading"":""atsu"",""onReading"":""netsu"",""strokes"":15}]","[{""sentence"":""このスープは熱いです。(このすーぷはあついです。)"",""translation"":""Bu sup qaynoq.""},{""sentence"":""気をつけて、熱いですよ。(きをつけて、あついですよ。)"",""translation"":""Ehtiyot bo'ling, issiq!""}]","[{""word"":""熱"",""hiragana"":""ねつ"",""meaning"":""isitma, harorat""}]"
"寒い","さむい","sovuq (ob-havo haqida)","i-sifat","N5","Top 500","②","","","","","冬は寒いです。(ふゆはさむいです。)","Qishda sovuq.","","暑い","Faqat havo va tana sezgisiga nisbatan. Narsa sovuq bo'lsa 「冷たい」 ishlatiladi: 「冷たい水」 — sovuq suv, 「寒い水」 noto'g'ri.","[{""kanji"":""寒"",""meaning"":""sovuq"",""kunReading"":""samu"",""onReading"":""kan"",""strokes"":12}]","[{""sentence"":""きょうは寒くないです。(きょうはさむくないです。)"",""translation"":""Bugun sovuq emas.""},{""sentence"":""寒いですね。(さむいですね。)"",""translation"":""Sovuq-a?""}]","[{""word"":""寒さ"",""hiragana"":""さむさ"",""meaning"":""sovuq (havo)""}]"
"冷たい","つめたい","sovuq, salqin (teginilganda)","i-sifat","N5","Top 1000","⓪","","","","","冷たい水を飲みます。(つめたいみずをのみます。)","Sovuq suv ichaman.","","熱い","Odam haqida ishlatilsa ""beparvo, sovuqqon"" degani: 「冷たい人」 — mehrsiz odam. 「寒い」 esa hech qachon odam xarakteriga nisbatan ishlatilmaydi.","[{""kanji"":""冷"",""meaning"":""sovuq, sovutmoq"",""kunReading"":""tsume, hi"",""onReading"":""rei"",""strokes"":7}]","[{""sentence"":""この飲み物は冷たいです。(このみものはつめたいです。)"",""translation"":""Bu ichimlik sovuq.""},{""sentence"":""手が冷たいですね。(てがつめたいですね。)"",""translation"":""Qo'lingiz sovuq ekan.""}]","[{""word"":""冷蔵庫"",""hiragana"":""れいぞうこ"",""meaning"":""muzlatgich""}]"
"難しい","むずかしい","qiyin, murakkab","i-sifat","N5","Top 500","④","","","","","日本語は難しいですが、おもしろいです。(にほんごはむずかしいですが、おもしろいです。)","Yapon tili qiyin, lekin qiziqarli.","困難","易しい, 簡単","""Iltimosni bajarish qiyin"" ma'nosida muloyim rad javobi sifatida ham ishlatiladi: 「ちょっと難しいですね」 — aslida ""yo'q"" degani.","[{""kanji"":""難"",""meaning"":""qiyin, ofat"",""kunReading"":""muzuka, kata"",""onReading"":""nan"",""strokes"":18}]","[{""sentence"":""この漢字は難しいです。(このかんじはむずかしいです。)"",""translation"":""Bu iyeroglif qiyin.""},{""sentence"":""難しくないです。(むずかしくないです。)"",""translation"":""Qiyin emas.""}]","[{""word"":""難しさ"",""hiragana"":""むずかしさ"",""meaning"":""qiyinlik""}]"
"易しい","やさしい","oson, sodda","i-sifat","N5","Top 2000","⓪","","","","","この本は易しいです。(このほんはやさしいです。)","Bu kitob oson.","簡単","難しい","Muhim omonim: 易しい（oson） va 優しい（mehribon, muloyim） — ikkalasi ham 「やさしい」 deb o'qiladi, faqat kanjisi farq qiladi. 「優しい人」 — mehribon odam, 「易しい本」 — oson kitob.","[{""kanji"":""易"",""meaning"":""oson; o'zgarish"",""kunReading"":""yasa"",""onReading"":""i, eki"",""strokes"":8}]","[{""sentence"":""易しい問題でした。(やさしいもんだいでした。)"",""translation"":""Oson masala edi.""},{""sentence"":""易しい日本語で話してください。(やさしいにほんごではなしてください。)"",""translation"":""Sodda yapon tilida gapiring.""}]","[{""word"":""優しい"",""hiragana"":""やさしい"",""meaning"":""mehribon, muloyim""},{""word"":""簡単"",""hiragana"":""かんたん"",""meaning"":""sodda, oson""}]"
"高い","たかい","qimmat; baland","i-sifat","N5","Top 500","②","","","","","この時計は高いです。(このとけいはたかいです。)","Bu soat qimmat.","","安い, 低い","Ikki ma'noli va shuning uchun IKKI xil ziddi bor: narx ma'nosida 「安い（arzon）」, balandlik ma'nosida 「低い（past）」. Qaysi ziddi kerakligini kontekst hal qiladi.","[{""kanji"":""高"",""meaning"":""baland, qimmat"",""kunReading"":""taka"",""onReading"":""kou"",""strokes"":10}]","[{""sentence"":""富士山は高い山です。(ふじさんはたかいやまです。)"",""translation"":""Fuji — baland tog'.""},{""sentence"":""あの建物は高いですね。(あのたてものはたかいですね。)"",""translation"":""Anavi bino baland ekan.""}]","[{""word"":""高校"",""hiragana"":""こうこう"",""meaning"":""o'rta maxsus maktab""},{""word"":""背が高い"",""hiragana"":""せがたかい"",""meaning"":""bo'yi baland""}]"
"安い","やすい","arzon","i-sifat","N5","Top 500","②","","","","","この店は安いです。(このみせはやすいです。)","Bu do'kon arzon.","","高い","Diqqat: 「安い」 (arzon) va 4-darsdagi 「休み（やすみ）」 — o'xshash eshitilsa ham, boshqa so'zlar. 「安」ning yana bir ma'nosi ""osoyishta"": 「安心（あんしん）」 — xotirjamlik.","[{""kanji"":""安"",""meaning"":""arzon, tinch"",""kunReading"":""yasu"",""onReading"":""an"",""strokes"":6}]","[{""sentence"":""安い切符を買いました。(やすいきっぷをかいました。)"",""translation"":""Arzon chipta sotib oldim.""},{""sentence"":""安くておいしいです。(やすくておいしいです。)"",""translation"":""Arzon va mazali.""}]","[{""word"":""安心"",""hiragana"":""あんしん"",""meaning"":""xotirjamlik""}]"
"低い","ひくい","past, pastak","i-sifat","N5","Top 1000","②","","","","","この机は低いです。(このつくえはひくいです。)","Bu stol past.","","高い","Faqat balandlik ma'nosidagi 「高い」 ning ziddi. Narx arzon bo'lsa 「低い」 emas, 「安い」 deyiladi — 「値段が低い」 g'alati eshitiladi.","[{""kanji"":""低"",""meaning"":""past"",""kunReading"":""hiku"",""onReading"":""tei"",""strokes"":7}]","[{""sentence"":""低い山です。(ひくいやまです。)"",""translation"":""Past tog'.""},{""sentence"":""声が低いですね。(こえがひくいですね。)"",""translation"":""Ovozingiz past ekan.""}]","[{""word"":""最低"",""hiragana"":""さいてい"",""meaning"":""eng past; juda yomon""}]"
"おもしろい","おもしろい","qiziqarli, mazmunli","i-sifat","N5","Top 500","④","","","","","この映画はおもしろいです。(このえいがはおもしろいです。)","Bu kino qiziqarli.","楽しい","つまらない","Ikki ma'noli: ""qiziq (mazmunan)"" va ""kulgili"". 「楽しい」 dan farqi: 「おもしろい」 — narsaning xususiyati (kitob, kino), 「楽しい」 — o'zim his qilgan zavq.","[]","[{""sentence"":""日本語の勉強はおもしろいです。(にほんごのべんきょうはおもしろいです。)"",""translation"":""Yapon tilini o'rganish qiziqarli.""},{""sentence"":""おもしろい人ですね。(おもしろいひとですね。)"",""translation"":""Qiziq odam ekan.""}]","[{""word"":""つまらない"",""hiragana"":""つまらない"",""meaning"":""zerikarli""}]"
"おいしい","おいしい","mazali, shirin (taom haqida)","i-sifat","N5","Top 500","⓪","","","","","この果物はおいしいです。(このくだものはおいしいです。)","Bu meva mazali.","うまい","まずい","「うまい」 ham ""mazali"" degani, lekin erkin nutqda va ko'proq erkaklar tilida. Ziddi 「まずい」 — bemaza. Ovqatdan keyin 「おいしかったです」 deyish odob.","[]","[{""sentence"":""おいしい店を知っています。(おいしいみせをしっています。)"",""translation"":""Mazali taom beradigan joyni bilaman.""},{""sentence"":""とてもおいしかったです。(とてもおいしかったです。)"",""translation"":""Juda mazali edi.""}]","[{""word"":""まずい"",""hiragana"":""まずい"",""meaning"":""bemaza""}]"
"忙しい","いそがしい","band, ishi ko'p","i-sifat","N5","Top 500","④","","","","","今週は忙しいです。(こんしゅうはいそがしいです。)","Bu hafta bandman.","","暇","5-darsdagi 「急行」 dagi 「急ぐ（shoshilmoq）」 bilan ma'nodosh ildizdan. Ziddi — bu darsdagi 「暇」.","[{""kanji"":""忙"",""meaning"":""band, shoshilinch"",""kunReading"":""isoga"",""onReading"":""bou"",""strokes"":6}]","[{""sentence"":""仕事が忙しいです。(しごとがいそがしいです。)"",""translation"":""Ishim ko'p.""},{""sentence"":""忙しくないです。(いそがしくないです。)"",""translation"":""Band emasman.""}]","[]"
"楽しい","たのしい","qiziqarli, ko'ngilli, zavqli (vaqtga nisbatan)","i-sifat","N5","Top 500","③","","","","","旅行は楽しかったです。(りょこうはたのしかったです。)","Sayohat zavqli o'tdi.","おもしろい, うれしい","つまらない","「楽しい」 — o'zim boshdan kechirgan zavq (vaqt, tadbir, sayohat). 「おもしろい」 esa narsaning xususiyati. 「うれしい」 — bir lahzalik xursandchilik.","[{""kanji"":""楽"",""meaning"":""zavq, oson; musiqa"",""kunReading"":""tano, raku"",""onReading"":""gaku, raku"",""strokes"":13}]","[{""sentence"":""きのうのパーティーは楽しかったです。(きのうのぱーてぃーはたのしかったです。)"",""translation"":""Kechagi ziyofat qiziqarli bo'ldi.""},{""sentence"":""毎日楽しいです。(まいにちたのしいです。)"",""translation"":""Har kunim ko'ngilli o'tyapti.""}]","[{""word"":""楽しみ"",""hiragana"":""たのしみ"",""meaning"":""intizorlik, zavq""}]"
"白い","しろい","oq","i-sifat","N5","Top 1000","②","","","","","白いシャツを買いました。(しろいしゃつをかいました。)","Oq ko'ylak sotib oldim.","","黒い","Ranglarning bir qismi i-sifat (白い, 黒い, 赤い, 青い), qolganlari esa faqat ot: 緑（yashil）, 紫（binafsha） — ular 「緑の車」 shaklida keladi.","[{""kanji"":""白"",""meaning"":""oq"",""kunReading"":""shiro"",""onReading"":""haku"",""strokes"":5}]","[{""sentence"":""白い紙をください。(しろいかみをください。)"",""translation"":""Oq qog'oz bering.""},{""sentence"":""雪は白いです。(ゆきはしろいです。)"",""translation"":""Qor oq.""}]","[{""word"":""白"",""hiragana"":""しろ"",""meaning"":""oq rang""},{""word"":""面白い"",""hiragana"":""おもしろい"",""meaning"":""qiziqarli""}]"
"黒い","くろい","qora","i-sifat","N5","Top 1000","②","","","","","黒いかばんを持っています。(くろいかばんをもっています。)","Qora sumkam bor.","","白い","Yaponiyada rasmiy hujjatlar qora yoki ko'k siyohda to'ldiriladi. 「黒」 majoziy ma'noda ""aybdor"" degani ham: 「クロ」 — aybi isbotlangan.","[{""kanji"":""黒"",""meaning"":""qora"",""kunReading"":""kuro"",""onReading"":""koku"",""strokes"":11}]","[{""sentence"":""黒いボールペンで書いてください。(くろいぼーるぺんでかいてください。)"",""translation"":""Qora ruchkada yozing.""},{""sentence"":""黒い車が好きです。(くろいくるまがすきです。)"",""translation"":""Qora mashinani yaxshi ko'raman.""}]","[{""word"":""黒"",""hiragana"":""くろ"",""meaning"":""qora rang""}]"
"赤い","あかい","qizil","i-sifat","N5","Top 1000","⓪","","","","","赤い花をもらいました。(あかいはなをもらいました。)","Qizil gul sovg'a qilishdi.","","","2-darsdagi 「紅茶」 dagi 「紅」 ham qizilni bildiradi. Yapon bayrog'idagi qizil doira — 「日の丸（ひのまる）」.","[{""kanji"":""赤"",""meaning"":""qizil"",""kunReading"":""aka"",""onReading"":""seki"",""strokes"":7}]","[{""sentence"":""赤いシャツはどこですか。(あかいしゃつはどこですか。)"",""translation"":""Qizil ko'ylak qayerda?""},{""sentence"":""この赤いかばんは私のです。(このあかいかばんはわたしのです。)"",""translation"":""Bu qizil sumka meniki.""}]","[{""word"":""赤"",""hiragana"":""あか"",""meaning"":""qizil rang""},{""word"":""赤ちゃん"",""hiragana"":""あかちゃん"",""meaning"":""chaqaloq""}]"
"青い","あおい","ko'k, moviy; (ba'zan) yashil","i-sifat","N5","Top 1000","②","","","","","空が青いです。(そらがあおいです。)","Osmon ko'k.","","","Qiziq xususiyat: yaponchada 「青」 ba'zan YASHILni ham bildiradi — svetoforning yashil chirog'i 「青信号」, yashil olma 「青りんご」 deyiladi. Bu qadimda ikki rang bir so'z bilan atalganidan qolgan.","[{""kanji"":""青"",""meaning"":""ko'k, moviy"",""kunReading"":""ao"",""onReading"":""sei"",""strokes"":8}]","[{""sentence"":""青いシャツを着ています。(あおいしゃつをきています。)"",""translation"":""Ko'k ko'ylak kiygan.""},{""sentence"":""海は青くてきれいです。(うみはあおくてきれいです。)"",""translation"":""Dengiz ko'k va chiroyli.""}]","[{""word"":""青"",""hiragana"":""あお"",""meaning"":""ko'k rang""},{""word"":""青信号"",""hiragana"":""あおしんごう"",""meaning"":""svetoforning yashil chirog'i""}]"
"桜","さくら","sakura, olcha guli","ot","N5","Top 2000","⓪","","","","","桜はとてもきれいです。(さくらはとてもきれいです。)","Sakura juda chiroyli.","","","Yaponiyaning norasmiy ramzi. 6-darsdagi 「お花見」 aynan sakura uchun. Gullash muddati atigi bir hafta — shuning uchun u o'tkinchi go'zallik timsoli hisoblanadi.","[{""kanji"":""桜"",""meaning"":""sakura, olcha"",""kunReading"":""sakura"",""onReading"":""ou"",""strokes"":10}]","[{""sentence"":""四月に桜が咲きます。(しがつにさくらがさきます。)"",""translation"":""Aprelda sakura ochiladi.""},{""sentence"":""桜の花見をしました。(さくらのはなみをしました。)"",""translation"":""Sakura tomoshasini qildik.""}]","[{""word"":""桜色"",""hiragana"":""さくらいろ"",""meaning"":""sakura rangi (och pushti)""}]"
